,mag_field,energy
0,0.075,1090.095947974
1,0.14625000000000002,838.0928464232
2,0.2175,607.5485242621
3,0.28875,439.1796398199
4,0.36,341.7897948974
5,0.43125,258.7058029015
6,0.5025000000000001,201.4823911956
7,0.5737500000000001,160.2155077539
8,0.645,129.9531265633
9,0.71625,297.2215607804
10,0.7875000000000001,249.351975988
11,0.8587500000000001,214.6877938969
12,0.93,184.9756378189
13,1.00125,163.5168584292
14,1.0725,143.1585292646
15,1.14375,126.6517758879
16,1.215,112.3459229615
17,1.28625,100.7911955978
18,1.3575,90.8871435718
19,1.42875,135.4553776888
20,1.5,74.9306153077
